Stato,"Codes and abbreviations for U S  states, federal district, territories, and ot.2",Popolazione (1-4-2020),Capitale,Somma di Omicidi
,,,,2514
Illinois,IL,12812508,Springfield,744
Pennsylvania,PA,13002700,Harrisburg,658
Georgia,GA,10711908,Atlanta,615
Michigan,MI,10077331,Lansing,571
Maryland,MD,6177224,Annapolis,516
Missouri,MO,6154913,Jefferson City,502
Ohio,OH,11799448,Columbus,500
Louisiana,LA,4657757,Baton Rouge,481
Tennessee,TN,6910840,Nashville,406
Virginia,VA,8631393,Richmond,383
Indiana,IN,6785528,Indianapolis,373
Alabama,AL,5024279,Montgomery,348
Arizona,AZ,7151502,Phoenix,309
Mississippi,MS,2961279,Jackson,259
Wisconsin,WI,5893718,Madison,240
Oklahoma,OK,3959353,Oklahoma City,234
Washington,WA,7705281,Olympia,211
Kentucky,KY,4505836,Frankfort,209
Nevada,NV,3104614,Carson City,178
Colorado,CO,5773714,Denver,176
Minnesota,MN,5706494,Saint Paul,133
Kansas,KS,2937880,Topeka,128
Massachusetts,MA,7029917,Boston,128
Connecticut,CT,3605944,Hartford,117
Oregon,OR,4237256,Salem,99
Iowa,IA,3190369,Des Moines,72
Delaware,DE,989948,Dover,63
Nebraska,NE,1961504,Lincoln,62
Alaska,AK,733391,Juneau,59
Utah,UT,3271616,Salt Lake City,54
Montana,MT,1084225,Helena,36
Idaho,ID,1839106,Boise,32
Maine,ME,1362359,Augusta,23
Hawaii,HI,1455271,Honolulu,19
Wyoming,WY,576851,Cheyenne,16
Vermont,VT,643077,Montpelier,10
California,CA,39538223,Sacramento,2
Florida,FL,21538187,Tallahassee,1
Texas,TX,29145505,Austin,1
